code,abbreviation,name
46007,CABEI,Central American Bank for Economic Integration
46008,CAF,Andean Development Corporation
46009,CDB,Caribbean Development Bank
46012,IDB,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund "
46013,IDB Sp.F.,Inter-American Development Fund for Special Operations
47001,ACBF,African Capacity Building Foundation
47002,APO,Asian Productivity Organisation
47003,ASEAN,Association of South East Asian Nations: Economic Co-operation
47004,ASEAN (CF),ASEAN Cultural Fund
47005,AU,African Union (excluding peacekeeping facilities)
47008,AVRDC,World Vegetable Centre
47009,CAMES,African and Malagasy Council for Higher Education
47010,CAPAM,Commonwealth Agency for Public Administration and Management
47011,CARICOM,Caribbean Community Secretariat
47012,CAREC,Caribbean Epidemiology Centre
47013,CF,Commonwealth Foundation
47014,CFTC,Commonwealth Fund for Technical Co-operation
47015,CGIAR,Consultative Group on International Agricultural Research
47016,CI,Commonwealth Institute
47017,CIAT,International Centre for Tropical Agriculture
47018,CIFOR,Centre for International Forestry Research
47019,CIHEAM,International Centre for Advanced Mediterranean Agronomic Studies
47020,CIMMYT,International Maize and Wheat Improvement Centre
47021,CIP,International Potato Centre
47022,CITES,Convention on International Trade in Endangered Species of Wild Flora and Fauna
47023,CLAS,Commonwealth Legal Advisory Service
47024,CMDF,Commonwealth Media Development Fund
47025,COL,Commonwealth of Learning
47026,CPLP,Community of Portuguese Speaking Countries
47027,CP,Colombo Plan
47028,CPTM,Commonwealth Partnership for Technical Management
47029,SWAC,Sahel and West Africa Club
47030,CSC,Commonwealth Scientific Council
47031,CSSO,Commonwealth Small States Office
47032,CTIAF,Commonwealth Trade and Investment Access Facility
47033,CYP,Commonwealth Youth Programme
47034,ECOWAS,Economic Community of West African States
47035,ENDA,Environmental Development Action in the Third World
47036,EPPO,European and Mediterranean Plant Protection Organisation
47037,EROPA,Eastern-Regional Organisation of Public Administration
47038,FASTPED,INTERPOL Fund for Aid and Technical Assistance to Developing Countries
47040,FFA,Forum Fisheries Agency
47041,FFTC,Food and Fertilizer Technology Centre
47042,FIT,Foundation for International Training
47043,,Global Crop Diversity Trust
47044,GEF,Global Environment Facility
47045,Global Fund,"Global Fund to Fight AIDS, Tuberculosis and Malaria "
47046,OIF,International Organisation of the Francophonic
47047,IAI,International African Institute
47048,IAII,Inter-American Indian Institute
47049,IBE,International Bureau of Education - International Educational Reporting System (IERS)
47050,ICAC,International Cotton Advisory Committee
47051,ICARDA,International Centre for Agricultural Research in Dry Areas
47053,"ICDDR,B ",Centre for Health and Population Research
47054,ICIPE,International Centre of Insect Physiology and Ecology
47055,ICRA,International Centre for Development Oriented Research in Agriculture
47056,ICRAF,World AgroForestry Centre
47057,ICRISAT,International Crop Research for Semi-Arid Tropics
47058,IDEA,International Institute for Democracy and Electoral Assistance
47059,IDLO,International Development Law Organisation
47060,IIC,International Institute for Cotton
47061,IICA,Inter-American Institute for Co-operation on Agriculture
47062,IITA,International Institute of Tropical Agriculture
47063,ILRI,International Livestock Research Institute
47064,INBAR,International Network for Bamboo and Rattan
47065,IOC,Intergovernmental Oceanographic Commission
47066,IOM,International Organisation for Migration
47067,IPCC,Intergovernmental Panel on Climate Change
47068,APFIC,Asia-Pacific Fishery Commission
47069,,Biodiversity International
47070,IRRI,International Rice Research Institute
47071,ISTA,International Seed Testing Association
47073,ITTO,International Tropical Timber Organisation
47074,IVI,International Vaccine Institute
47075,IWMI,International Water Management Institute
47076,JSCA,Justice Studies Centre of the Americas
47077,MRC,Mekong River Commission
47078,Montreal Protocol,Multilateral Fund for the Implementation of the Montreal Protocol
47079,OAS,Organisation of American States
47080,OECD,Organisation for Economic Co-operation and Development (Contributions to special funds for Technical Co-operation Activities Only)
47081,OECD-Dev. Centre,OECD Development Centre
47082,OECS,Organisation of Eastern Caribbean States
47083,PAHO,Pan-American Health Organisation
47084,PAIGH,Pan-American Institute of Geography and History
47085,PARCA,Pan-American Railway Congress Association
47086,PIDG,Private Infrastructure Development Group
47087,PIFS,Pacific Islands Forum Secretariat
47088,RN,Relief Net
47089,SADC,Southern African Development Community
47090,SATCC,Southern African Transport and Communications Commission
47091,SCAAP,(Colombo Plan) Special Commonwealth African Assistance Programme
47092,SEAFDC,South East Asian Fisheries Development Centre
47093,SEAMEO,South East Asian Ministers of Education
47094,SOPAC,South Pacific Applied Geoscience Commission
47095,SPBEA,South Pacific Board for Educational Assessment
47096,SPC,Secretariat of the Pacific Community
47097,SPREP,Pacific Regional Environment Programme
47098,UNPO,Unrepresented Nations and Peoples' Organisation
47099,USP,University of the South Pacific
47100,WAMU,West African Monetary Union
47101,WARDA,Africa Rice Centre
47102,WCO-Fellowship Prog.,World Customs Organisation Fellowship Programme
47103,WMU,World Maritime University
47104,WorldFish Centre,WorldFish Centre
47105,CFC,Common Fund for Commodities
47106,DCAF,Geneva Centre for the Democratic Control of Armed Forces
47107,IFFIm,International Finance Facility for Immunisation
47108,MDRP,Multi-Country Demobilisation and Reintegration Program
47109,APEC ASF,Asia-Pacific Economic Cooperation Support Fund (except contributions tied to counter-terrorism activities)
47110,BSEC,Organisation of the Black Sea Economic Cooperation
47111,,Adaptation Fund
47112,CEI-Climate Fund,Central European Initiative - Special Fund for Climate and Environmental Protection
47113,CEMAC,Economic and Monetary Community of Central Africa
47116,IF,Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries
47117,NEPAD,New Partnership for Africa's Development
47118,CREFIAF,Regional Organisation for the Strengthening of Supreme Audit Institutions of Francophone Sub-Saharan Countries
47119,OSS,Sahara and Sahel Observatory
47120,SAARC,South Asian Association for Regional Cooperation
47121,UCLGA,United Cities and Local Governments of Africa
47122,GAVI,Global Alliance for Vaccines and Immunization
47123,GICHD,Geneva International Centre for Humanitarian Demining
47125,ETC,European Bank for Reconstruction and Development - Early Transition Countries Initiative
47126,,European Bank for Reconstruction and Development - Western Balkans Trust Fund
47127,OLADE,Latin-American Energy Organisation
21001,AGID,Association of Geoscientists for International Development
21002,AITIC,Agency for International Trade Information and Co-operation
21003,CLASCO,Latin American Council for Social Sciences
21004,CODESRIA,Council for the Development of Economic and Social Research in Africa
21005,CUTS,Consumer Unity and Trust Society International
21006,,Development Gateway Foundation
21007,ELCI,Environmental Liaison Centre International
21008,Eurostep,Eurostep
21009,FARA,Forum for Agricultural Research in Africa
21010,FAWE,Forum for African Women Educationalists
21011,GCE,Global Campaign for Education
21013,HAI,Health Action International
21014,HURIDOCS,Human Rights Information and Documentation Systems
21015,ICRA,International Catholic Rural Association
21016,ICRC,International Committee of the Red Cross
21017,ICTSD,International Centre for Trade and Sustainable Development
21018,IFRCRCS,International Federation of Red Cross and Red Crescent Societies
21019,IFS,International Federation of Settlements and Neighbourhood Centres
21020,,International HIV/AIDS Alliance
21021,IIED,International Institute for Environment and Development
21022,INAFI,International Network for Alternative Financial Institutions
21023,IPPF,International Planned Parenthood Federation
21024,IPS,"Inter Press Service, International Association "
21025,ISC,International Seismological Centre
21026,ISHR,International Service for Human Rights
21027,ITF,International Trust Fund for Demining and Mine Victims Assistance
21028,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America
21029,MSF,Doctors Without Borders
21030,PAID,Pan African Institute for Development
21031,PANOS,PANOS Institute
21032,PSI,Population Services International
21033,TI,Transparency International
21034,UNION,International Union Against Tuberculosis and Lung Disease
21035,OMCT,World Organisation Against Torture
21036,WUS,World University Service
21037,WWB,Women's World Banking
21038,,International Alert
21039,IISD,International Institute for Sustainable Development
21040,IWTC,International Women's Tribune Centre
21041,SID,Society for International Development
21042,Interpeace,International Peacebuilding Alliance
21043,AWEPA,European Parliamentarians for Africa
21044,ICCIDD,International Council for the Control of Iodine Deficiency Disorders
21045,AMREF,African Medical and Research Foundation
21046,ACORD,Agency for Cooperation and Research in Development
21047,,AgriCord
21048,AAU,Association of African Universities
21049,ECDPM,European Centre for Development Policy Management
21050,,Geneva Call
21051,ISPEC,Institut Supérieur Panafricaine d'Economie Coopérative
21053,,"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights "
21054,LPI,Life and Peace Institute
21055,RATN,Regional AIDS Training Network
21056,REEEP,Renewable Energy and Energy Efficiency Partnership
21057,ICTJ,International Centre for Transitional Justice
30001,GAIN,Global Alliance for Improved Nutrition
30003,GeSCI,Global e-Schools and Communities Initiative
30004,GWP,Global Water Partnership
30005,IAVI,International AIDS Vaccine Initiative
30006,IPM,International Partnership on Microbicides
30007,GAID,Global Alliance for ICT and Development
30008,,Cities Alliance
30009,SAS,Small Arms Survey
30010,UNITAID,International drug purchase facility
30011,IUCN,International Union for the Conservation of Nature
31001,GDN,Global Development Network
31002,GKP,Global Knowledge Partnership
10000,,Public Sector Institutions
11000,,Donor Government
12000,,Recipient Government
13000,,Third Country Government (Delegated co-operation)
20000,,Non-Governmental Organisations and Civil Society
21000,,International NGO
22000,,Donor country-based NGO
23000,,Development country-based NGO
30000,,Public-Private Partnerships and Networks
31000,PP,Public-Private Partnerships
32000,,Network
40000,,Multi-lateral Organisations
41000,UN,"United Nations agency, fund or commission"
42000,EU,European Union Institution
43000,IIMF,International Monetary Fund
44000,WBG,World Bank Group
45000,WTO,World Trade Organisation
46000,RDB,Regional Development Bank
47000,,Other Multi-lateral Institution
50000,,Other
51000,,"University,college or other teaching institution, research institute or             think-tank"
52000,,Other
